point_id,lon,lat,note,property,depth,value,target_units,mapped_units
sw_corner,-57.03781,-25.60748,SW corner (drainage side),cec,15-30cm,16.400,cmol(c)/kg,mmol(c)/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),cec,30-60cm,16.200,cmol(c)/kg,mmol(c)/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),cec,60-100cm,16.200,cmol(c)/kg,mmol(c)/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),cec,100-200cm,15.600,cmol(c)/kg,mmol(c)/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),nitrogen,0-5cm,3.010,g/kg,cg/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),nitrogen,5-15cm,1.960,g/kg,cg/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),nitrogen,15-30cm,1.200,g/kg,cg/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),nitrogen,30-60cm,0.700,g/kg,cg/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),nitrogen,60-100cm,0.500,g/kg,cg/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),nitrogen,100-200cm,0.440,g/kg,cg/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),ocd,0-5cm,40.200,hg/m³,dg/dm³
sw_corner,-57.03781,-25.60748,SW corner (drainage side),ocd,5-15cm,32.000,hg/m³,dg/dm³
sw_corner,-57.03781,-25.60748,SW corner (drainage side),ocd,15-30cm,22.000,hg/m³,dg/dm³
sw_corner,-57.03781,-25.60748,SW corner (drainage side),ocd,30-60cm,11.100,hg/m³,dg/dm³
sw_corner,-57.03781,-25.60748,SW corner (drainage side),ocd,60-100cm,6.800,hg/m³,dg/dm³
sw_corner,-57.03781,-25.60748,SW corner (drainage side),ocd,100-200cm,4.200,hg/m³,dg/dm³
sw_corner,-57.03781,-25.60748,SW corner (drainage side),soc,0-5cm,37.400,g/kg,dg/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),soc,5-15cm,26.300,g/kg,dg/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),soc,15-30cm,18.300,g/kg,dg/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),soc,30-60cm,8.100,g/kg,dg/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),soc,60-100cm,6.000,g/kg,dg/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),soc,100-200cm,6.600,g/kg,dg/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),clay,0-5cm,19.300,%,g/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),clay,5-15cm,20.900,%,g/kg
