id,type,source,license,size_mb,files,resolution_hint,integration_target,lqv_use_score,notes
brown_mud_rocks_01,texture,polyhaven.com,CC0 1.0,36.8,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/ground,4,muddy tracks + creek surrounds
brown_planks_03,texture,polyhaven.com,CC0 1.0 Universal,29.4,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/floor,4,decking + floor finishes
brown_planks_05,texture,polyhaven.com,CC0 1.0 Universal,30.6,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/floor,4,decking + floor finishes
brown_planks_09,texture,polyhaven.com,CC0 1.0 Universal,27.0,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/floor,4,decking + floor finishes
burned_ground_01,texture,polyhaven.com,CC0 1.0 Universal,32.7,AO|Diffuse|Displacement|Rough|nor_gl,4k,unclassified,1,
castle_brick_01,texture,polyhaven.com,CC0 1.0 Universal,37.6,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,rural Paraguayan masonry
castle_brick_02_red,texture,polyhaven.com,CC0 1.0,37.3,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,rural Paraguayan masonry
castle_brick_02_white,texture,polyhaven.com,CC0 1.0 Universal,39.3,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,rural Paraguayan masonry
ceramic_roof_01,texture,polyhaven.com,CC0 1.0 Universal,21.7,AO|Diffuse|Displacement|Rough|nor_gl,4k,unclassified,1,
church_bricks_02,texture,polyhaven.com,CC0 1.0 Universal,22.8,AO|Displacement|Rough|nor_gl,4k,house/material,5,rural Paraguayan masonry
clay_block_wall,texture,polyhaven.com,CC0 1.0,45.7,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,vernacular wall finishes
clay_floor_001,texture,polyhaven.com,CC0 1.0 Universal,8.3,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,vernacular wall finishes
clay_plaster,texture,polyhaven.com,CC0 1.0,32.1,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,vernacular wall finishes
clay_roof_tiles,texture,polyhaven.com,CC0 1.0 Universal,38.2,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,vernacular wall finishes
clay_roof_tiles_02,texture,polyhaven.com,CC0 1.0 Universal,38.3,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,vernacular wall finishes
clay_roof_tiles_03,texture,polyhaven.com,CC0 1.0 Universal,43.2,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,vernacular wall finishes
clean_pebbles,texture,polyhaven.com,CC0 1.0 Universal,50.2,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/path,4,gravel paths
cliff_side,texture,polyhaven.com,CC0 1.0,36.6,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/feature,4,hill outcrop / boulder
cobblestone_color,texture,polyhaven.com,CC0 1.0 Universal,38.0,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/water,5,creek/river bed
cobblestone_floor_01,texture,polyhaven.com,CC0 1.0 Universal,31.6,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/water,5,creek/river bed
cobblestone_floor_02,texture,polyhaven.com,CC0 1.0 Universal,12.6,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/water,5,creek/river bed
