source,class,order,family,genus,scientificName,vernacularName,occurrenceCount,iucnRedListCategory
GBIF,Mammalia,Didelphimorphia,Didelphidae,Philander,Philander opossum,Comadreja De Cuatro Ojos,2,
GBIF,Mammalia,Didelphimorphia,Didelphidae,Chironectes,Chironectes minimus,Chucha de agua | ratón de agua | runcho de agua | zarigüeya de agua,2,
GBIF,Mammalia,Rodentia,Cricetidae,Oecomys,Oecomys franciscorum,Ratón de los Franciscos,2,
GBIF,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,Murciélago-cola peluda canoso,1,
GBIF,Mammalia,Chiroptera,Phyllostomidae,Tonatia,Tonatia bidens,Falso vampiro orejas redondas,1,
GBIF,Mammalia,Chiroptera,Phyllostomidae,Artibeus,Artibeus fimbriatus,Frutero grande oscuro,1,
GBIF,Mammalia,Carnivora,Felidae,Leopardus,Leopardus wiedii,Burricon,1,
GBIF,Mammalia,Pilosa,Myrmecophagidae,Tamandua,Tamandua tetradactyla,Brazo Fuerte,1,
GBIF,Mammalia,Primates,Atelidae,Alouatta,Alouatta caraya,Aullador Negro,1,
GBIF,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta azarae,Agutí bayo,1,
GBIF,Mammalia,Rodentia,Erethizontidae,Sphiggurus,Sphiggurus spinosus,Paraguaian Hairy Dwarf Porcupine,1,
GBIF,Mammalia,Rodentia,Cricetidae,Oxymycterus,Oxymycterus delator,Hocicudo-Púrpureo de Paraguay,1,
GBIF,Mammalia,Rodentia,Muridae,Rattus,Rattus rattus,Rata Negra,1,
GBIF,Mammalia,Rodentia,Echimyidae,Kannabateomys,Kannabateomys amblyonyx,Rata tacuarera,1,
GBIF,Mammalia,Didelphimorphia,Didelphidae,Didelphis,Didelphis aurita,Comadreja Orejas Negras,1,
GBIF,Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,Armadillo Común | Armadillo (generalizado),1,
GBIF,Mammalia,Cingulata,Dasypodidae,Euphractus,Euphractus sexcinctus,Gualacate,1,
GBIF,Mammalia,Cingulata,Dasypodidae,Chaetophractus,Chaetophractus villosus,Peludo,1,
GBIF,Mammalia,Rodentia,Echimyidae,Thrichomys,Thrichomys pachyurus,Foster's Punare,1,
GBIF,Mammalia,Didelphimorphia,Didelphidae,Cryptonanus,Cryptonanus chacoensis,Comadrejita ágil,1,
GBIF,Mammalia,Chiroptera,Molossidae,Eumops,Eumops patagonicus,Moloso gris de orejas anchas,1,
GBIF,Mammalia,Rodentia,Muridae,Mus,Mus musculus,Bigañuelo,1,
GBIF,Mammalia,Carnivora,Procyonidae,Procyon,Procyon cancrivorus,Cangrejera,1,
GBIF,Mammalia,Didelphimorphia,Didelphidae,Metachirus,Metachirus nudicaudatus,Tlacuache-cuatrojos café,1,
GBIF,Magnoliopsida,Malpighiales,Euphorbiaceae,Sebastiania,Sebastiania brasiliensis,Blanquillo,113,
GBIF,Magnoliopsida,Fabales,Fabaceae,Arachis,Arachis glabrata,Rhizoma peanut,66,
GBIF,Magnoliopsida,Gentianales,Apocynaceae,Forsteronia,Forsteronia pubescens,,64,
GBIF,Magnoliopsida,Sapindales,Meliaceae,Trichilia,Trichilia catigua,Catiguá,61,
GBIF,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum chacoense,Chaco Potato,57,
GBIF,Magnoliopsida,Piperales,Piperaceae,Piper,Piper amalago,Anisillo,57,
GBIF,Magnoliopsida,Sapindales,Meliaceae,Trichilia,Trichilia pallida,Chanchuwi,53,
GBIF,Magnoliopsida,Ericales,Sapotaceae,Chrysophyllum,Chrysophyllum marginatum,Vasuriña,50,
GBIF,Magnoliopsida,Malpighiales,Malpighiaceae,Alicia,Alicia anisopetala,,46,
GBIF,Magnoliopsida,Malpighiales,Malpighiaceae,Heteropterys,Heteropterys argyrophaea,,45,
GBIF,Magnoliopsida,Sapindales,Meliaceae,Trichilia,Trichilia elegans,Catigua blanca,43,
GBIF,Magnoliopsida,Gentianales,Rubiaceae,Psychotria,Psychotria carthagenensis,Jazmín de la costa,42,
GBIF,Magnoliopsida,Lamiales,Acanthaceae,Ruellia,Ruellia angustiflora,junta-de-cobra,42,
GBIF,Magnoliopsida,Sapindales,Sapindaceae,Serjania,Serjania perulacea,barbasco,40,
GBIF,Magnoliopsida,Asterales,Asteraceae,Campuloclinium,Campuloclinium macrocephalum,Pompón,39,
GBIF,Magnoliopsida,Myrtales,Myrtaceae,Myrcia,Myrcia laruotteana,,39,
GBIF,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,Passiflora misera,Mburucuyá miní,39,
GBIF,Magnoliopsida,Magnoliales,Annonaceae,Annona,Annona emarginata,Araticú,39,
GBIF,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis brasiliensis,,39,
GBIF,Magnoliopsida,Solanales,Solanaceae,Cestrum,Cestrum strigillatum,strigilate cestrum,38,
GBIF,Magnoliopsida,Sapindales,Sapindaceae,Urvillea,Urvillea ulmacea,Hiedra,37,
GBIF,Magnoliopsida,Solanales,Solanaceae,Capsicum,Capsicum baccatum,ají,35,
GBIF,Magnoliopsida,Fabales,Fabaceae,Copaifera,Copaifera langsdorffii,Brazilian diesel tree,35,
GBIF,Magnoliopsida,Lamiales,Bignoniaceae,Pyrostegia,Pyrostegia venusta,Flor de San Juan,35,
GBIF,Magnoliopsida,Laurales,Lauraceae,Ocotea,Ocotea diospyrifolia,Laurel Negro,35,
GBIF,Magnoliopsida,Malpighiales,Salicaceae,Casearia,Casearia sylvestris,Burro caá,35,
GBIF,Magnoliopsida,Fabales,Fabaceae,Parapiptadenia,Parapiptadenia rigida,Anchico,34,
GBIF,Magnoliopsida,Caryophyllales,Amaranthaceae,Gomphrena,Gomphrena celosioides,Bachelor's Button,34,
GBIF,Magnoliopsida,Sapindales,Sapindaceae,Cupania,Cupania vernalis,Camboatá colorado,34,
GBIF,Magnoliopsida,Caryophyllales,Phytolaccaceae,Seguieria,Seguieria aculeata,,34,
GBIF,Magnoliopsida,Sapindales,Meliaceae,Guarea,Guarea macrophylla,Amonkaweye,33,
GBIF,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum pseudocapsicum,Collar de reina,31,
GBIF,Magnoliopsida,Lamiales,Bignoniaceae,Adenocalymma,Adenocalymma marginatum,,31,
GBIF,Magnoliopsida,Boraginales,Heliotropiaceae,Myriopus,Myriopus salzmannii,,30,
GBIF,Magnoliopsida,Malpighiales,Malpighiaceae,Stigmaphyllon,Stigmaphyllon jatrophifolium,,30,
GBIF,Magnoliopsida,Lamiales,Verbenaceae,Aloysia,Aloysia virgata,Niño Rupá,30,
GBIF,Magnoliopsida,Lamiales,Bignoniaceae,Mansoa,Mansoa difficilis,Cipó-de-cobra,29,
GBIF,Magnoliopsida,Sapindales,Rutaceae,Pilocarpus,Pilocarpus pennatifolius,Yaguarandí,29,
GBIF,Magnoliopsida,Fabales,Polygalaceae,Securidaca,Securidaca ovalifolia,,29,
GBIF,Magnoliopsida,Boraginales,Heliotropiaceae,Heliotropium,Heliotropium transalpinum,pau-de-sapo,29,
GBIF,Magnoliopsida,Celastrales,Celastraceae,Pristimera,Pristimera celastroides,Cancerina,28,
GBIF,Magnoliopsida,Myrtales,Myrtaceae,Psidium,Psidium guajava,Donkila,28,
GBIF,Magnoliopsida,Malpighiales,Malpighiaceae,Dicella,Dicella nucifera,Castanha-de-cipó,28,
GBIF,Magnoliopsida,Laurales,Lauraceae,Nectandra,Nectandra megapotamica,canela,28,
GBIF,Magnoliopsida,Malvales,Malvaceae,Luehea,Luehea divaricata,Azota caballos,28,
GBIF,Magnoliopsida,Sapindales,Sapindaceae,Serjania,Serjania caracasana,cipó-leiteiro,28,
GBIF,Magnoliopsida,Sapindales,Burseraceae,Protium,Protium heptaphyllum,Caraño,28,
GBIF,Magnoliopsida,Gentianales,Apocynaceae,Tabernaemontana,Tabernaemontana catharinensis,Palo víbora,27,
GBIF,Magnoliopsida,Sapindales,Sapindaceae,Serjania,Serjania fuscifolia,cipó-timbó,27,
GBIF,Magnoliopsida,Boraginales,Cordiaceae,Cordia,Cordia americana,guayaibí,27,
GBIF,Magnoliopsida,Lamiales,Bignoniaceae,Fridericia,Fridericia caudigera,,27,
GBIF,Magnoliopsida,Malpighiales,Salicaceae,Casearia,Casearia gossypiosperma,Cambroé,27,
GBIF,Magnoliopsida,Lamiales,Bignoniaceae,Amphilophium,Amphilophium paniculatum,bejuco prieto,26,
GBIF,Magnoliopsida,Lamiales,Acanthaceae,Justicia,Justicia ramulosa,,26,
GBIF,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micranthum,Capulín cimarrón,25,
GBIF,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,Acalypha communis,akalyfa bežná,25,
GBIF,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton gracilipes,,25,
GBIF,Magnoliopsida,Gentianales,Apocynaceae,Forsteronia,Forsteronia glabrescens,,25,
GBIF,Magnoliopsida,Ericales,Ebenaceae,Diospyros,Diospyros inconstans,Granadillo,25,
GBIF,Magnoliopsida,Fabales,Fabaceae,Inga,Inga affinis,Imiquil,25,
GBIF,Magnoliopsida,Myrtales,Myrtaceae,Eugenia,Eugenia moraviana,,25,
GBIF,Magnoliopsida,Myrtales,Myrtaceae,Psidium,Psidium guineense,Allpa guayaba,24,
GBIF,Magnoliopsida,Rosales,Rhamnaceae,Gouania,Gouania latifolia,Tampirush naek,24,
GBIF,Magnoliopsida,Lamiales,Bignoniaceae,Dolichandra,Dolichandra unguis-cati,Bejuco de murciélago,24,
GBIF,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum robustum,Shrubby Nightshade,23,
GBIF,Magnoliopsida,Fabales,Fabaceae,Peltophorum,Peltophorum dubium,caña fístola,23,
GBIF,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia stipulacea,,23,
