latitude,longitude,ground_elevation_m,canopy_height_m,sensitivity,beam,granule,granule_time_start
-25.629613249546498,-57.03519449472474,1280.3356,38.13379,0.9788333,BEAM1011,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.629603614403408,-57.03445445002025,4762.891,48.15625,0.99439746,BEAM0110,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.62959914090214,-57.03645448398123,5317.274,1.9824219,0.95732987,BEAM0000,GEDI02_A_2021088044333_O12988_04_T07075_02_003_02_V002.h5,2021-03-29T04:43:33.000Z
-25.62955521909921,-57.04348788183783,1232.2445,35.860107,0.9693637,BEAM1000,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.629475750913087,-57.03799906810446,7586.4946,0.0,13.105914,BEAM0000,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z
-25.62942697739587,-57.01560824345997,8864.767,0.0,3.634389,BEAM0011,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.62924316096436,-57.015968502861995,2660.604,0.5227051,0.94315493,BEAM0010,GEDI02_A_2024193193707_O31606_01_T10769_02_004_03_V002.h5,2024-07-11T19:37:07.000Z
-25.629231850759997,-57.03482718103555,1269.4026,31.934937,0.97423667,BEAM1011,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.62921166198316,-57.03482761873745,4756.94,50.76953,0.97621083,BEAM0110,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.6291594881245,-57.04311215756358,1244.0247,37.87622,0.9733327,BEAM1000,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.629086772502383,-57.03837114544253,7585.9062,0.0,1.9317802,BEAM0000,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z
-25.628972165136933,-57.04462579742569,2757.8887,0.0,1.9062223,BEAM0001,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
-25.628839326063627,-57.03445355827411,1276.1013,30.253906,0.98132706,BEAM1011,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.628823586112894,-57.03519799458241,4757.127,39.04785,0.9837267,BEAM0110,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.628779243235606,-57.04274571439323,1231.1404,55.731445,0.98434955,BEAM1000,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.628769311513107,-57.027280298981964,4821.999,18.365234,0.9574045,BEAM0101,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.62872364764305,-57.036820719127185,2748.9426,0.0,2.7409437,BEAM0000,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
-25.628698142789105,-57.03874294660366,7585.973,0.0,2.047117,BEAM0000,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z
-25.62858319247286,-57.04499647464023,2757.9912,0.0,1.8691046,BEAM0001,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
-25.62845487749421,-57.034084529493995,1269.979,49.0791,0.97586626,BEAM1011,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.62842425974147,-57.03557663409065,4739.9365,18.88916,0.94741964,BEAM0110,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.628377455568764,-57.04236637224928,1252.6301,34.214478,0.9839564,BEAM1000,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.628358820281193,-57.02766618908792,4787.102,30.458984,0.96011484,BEAM0101,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.628261545045195,-57.01672240312407,8864.811,0.0,6.6229024,BEAM0011,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.628097195328507,-57.03590251684866,4835.2173,0.0,3.5747402,BEAM0110,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.628051541397284,-57.03370478747373,1293.7714,27.675903,0.984393,BEAM1011,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.628016982113152,-57.04201178377159,1208.2445,73.66162,0.97475815,BEAM1000,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.627951976394737,-57.03749669310168,2845.1367,0.0,3.3988812,BEAM0000,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
-25.627950994091474,-57.02805018709064,4756.269,21.911133,0.9530439,BEAM0101,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.627920853245094,-57.039486445384135,7586.0825,0.0,2.213397,BEAM0000,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z
-25.627687888786816,-57.033347584676584,1254.6096,59.05139,0.97723794,BEAM1011,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.627595283270672,-57.04162052810458,1261.4899,34.102173,0.97874004,BEAM1000,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.627594327981406,-57.02839808720301,4803.1426,4.628418,0.9238861,BEAM0101,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.62753199101205,-57.039858279876704,7585.751,0.0,9.177865,BEAM0000,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z
-25.627292896510088,-57.03297260116389,1265.0815,45.64392,0.9797465,BEAM1011,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.627216025861518,-57.041254704101405,1247.0446,59.052124,0.98093665,BEAM1000,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.627187520616662,-57.028781360356206,4773.927,8.099609,0.985435,BEAM0101,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.62717001060977,-57.03830547529446,2748.403,0.0,3.67766,BEAM0000,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
-25.627096076797663,-57.017836426311405,8864.315,0.0,5.589579,BEAM0011,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.626895884681904,-57.032596483200294,1278.6913,46.65161,0.98786485,BEAM1011,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.626823630423228,-57.040881019524704,1253.5249,55.168457,0.981819,BEAM1000,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.62678146387953,-57.038676553187,2748.4202,0.0,20.705349,BEAM0000,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
-25.6265636231972,-57.031458539067216,151.02435,9.957504,0.9785166,BEAM0011,GEDI02_A_2020124150548_O07879_04_T04229_02_003_01_V002.h5,2020-05-03T15:05:48.000Z
-25.626505913187856,-57.032224374525356,1281.063,41.720215,0.9731185,BEAM1011,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.626444699021942,-57.04051541069972,1238.5029,57.784424,0.9832807,BEAM1000,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.626392851905685,-57.03904779344847,2748.1858,0.0,3.289876,BEAM0000,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
-25.626128441122965,-57.03185937534113,1263.534,52.366943,0.9903792,BEAM1011,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.62611970021885,-57.03778261920059,4781.242,18.777344,0.9701348,BEAM0110,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.626056166828626,-57.04014406201155,1238.7427,53.638306,0.97702247,BEAM1000,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.62604004819714,-57.02987976464373,4797.3613,1.269043,0.9429634,BEAM0101,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.626004213489715,-57.039418704813755,2748.4097,0.0,1.7816019,BEAM0000,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
-25.62574793125783,-57.038141410721174,4807.5786,22.622559,0.96585935,BEAM0110,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.625736053225218,-57.03148592308733,1269.554,40.48987,0.9577886,BEAM1011,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.625682691628928,-57.03978174397813,1214.9152,62.566284,0.985625,BEAM1000,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.62554302813531,-57.01932083934777,8864.12,0.0,2.1840692,BEAM0011,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.625348751428138,-57.03111537431811,1267.4056,40.52722,0.985235,BEAM1011,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.625341646159395,-57.03852545082781,4780.3037,44.273926,0.97336334,BEAM0110,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.625284048509293,-57.03940436495189,1231.1553,36.233154,0.98242724,BEAM1000,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.6252514226588,-57.03062879355998,4777.4287,0.8588867,0.930069,BEAM0101,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.6252267425751,-57.04016123343219,2747.745,0.0,31.05489,BEAM0000,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
-25.6251547416897,-57.01969188920099,8863.879,0.0,3.3845377,BEAM0011,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.62512372437687,-57.02605675344133,2548.07,0.89575195,0.94377095,BEAM0000,GEDI02_A_2024193193707_O31606_01_T10769_02_004_03_V002.h5,2024-07-11T19:37:07.000Z
-25.624963142865536,-57.030745802050475,1262.45,43.73938,0.9814997,BEAM1011,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.624938774903217,-57.03890702243562,4758.3745,45.24463,0.98175967,BEAM0110,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.624901174640183,-57.03903644504711,1222.1705,42.20996,0.9740001,BEAM1000,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.62483797370074,-57.04053207792914,2747.9683,0.0,3.3341506,BEAM0000,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
-25.624766803698034,-57.020062688484785,8864.151,0.0,6.9007134,BEAM0011,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.624751855524774,-57.02057949040004,207.28511,15.988037,0.9537912,BEAM0110,GEDI02_A_2024179150714_O31386_04_T09921_02_004_03_V002.h5,2024-06-27T15:07:14.000Z
-25.624596254539448,-57.0376590285121,165.69287,11.103317,0.92476106,BEAM0010,GEDI02_A_2024252101809_O32515_04_T07075_02_004_02_V002.h5,2024-09-08T10:18:09.000Z
-25.624564069502338,-57.03036860410922,1278.7108,30.59021,0.99171835,BEAM1011,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.624531270744956,-57.03929200146644,4729.268,45.431152,0.98533595,BEAM0110,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.624521896556146,-57.03867069424962,1207.3647,61.596924,0.9749338,BEAM1000,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.624465781105087,-57.03137581054654,4762.343,12.206055,0.9784741,BEAM0101,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
