binomial,family,scientific_name_full,life_form,af_status,n_records_af,ornamental_or_cultivated,endemism_level_pct,endemism_group,endemism_bf2020,records_inside_af,records_outside_af,py_threat_category,ar_threat_category,ar_endemic_category,uses,is_timber,lqv_25km_documented,lqv_25km_sources,lqv_25km_occurrences,lqv_vernacular,lqv_iucn
Lamanonia cuneata,Cunoniaceae,Lamanonia cuneata (Cambess.) Kuntze,tree,confirmed,65,NA,74.58,widespread,Endemic,24,6,,,,,,,,,,
Lamanonia speciosa,Cunoniaceae,Lamanonia speciosa (Cambess.) L. B. Sm.,tree,confirmed,145,NA,87.5,widespread,Endemic,106,16,,,,,,,,,,
Lamanonia ternata,Cunoniaceae,Lamanonia ternata Vell.,tree,confirmed,477,NA,69.57,widespread,Not endemic,250,85,,,,,,,,,,
Lamanonia ulei,Cunoniaceae,Lamanonia ulei (Engl.) L.B. Sm.,tree,probable occurrence in the AF,1,,,,,,,,,,,,,,,,
Lantana entrerriensis,,Lantana entrerriensis,,in AR list but not in AF checklist,0,,,,,,,,,cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones esc,,,,,,,
Lantana radula,Verbenaceae,Lantana radula Sw.,shrub,confirmed,159,NA,89.95,near_endemic,Not endemic,99,11,,,,,,,,,,
Lantana xenica,,Lantana xenica,,in AR list but not in AF checklist,0,,,,,,,,,"cat2: Plantas abundantes, presentes en sólo una de las grandes unidades fitogeog",,,,,,,
Laplacea fruticosa,Theaceae,Laplacea fruticosa (Schrad.) Kobuski,tree,confirmed,756,NA,23.43,widespread,Not endemic,202,252,,,,,,,,,,
Larrea cuneifolia,,Larrea cuneifolia,,in AR list but not in AF checklist,0,,,,,,,,,cat1: Plantas muy abundantes en los lugares de origen y con amplia distribución ,,,,,,,
Lavoisiera harleyi,Melastomataceae,Lavoisiera harleyi Wurdack,tree,probable occurrence in the AF,19,,,,,,,,,,,,,,,,
Lavoisiera nervulosa,Melastomataceae,Lavoisiera nervulosa Naudin,shrub,new to AF,39,NA,38.1,widespread,Not in the AF,1,0,,,,,,,,,,
Leandra acutiflora,Melastomataceae,Leandra acutiflora (Naudin) Cogn.,shrub,confirmed,232,NA,98.07,near_endemic,Not endemic,198,3,,,,,,,,,,
Leandra amplexicaulis,Melastomataceae,Leandra amplexicaulis DC.,shrub,confirmed,172,NA,99.66,near_endemic,Endemic,150,0,,,,,,,,,,
Leandra angustifolia,Melastomataceae,Leandra angustifolia DC.,tree,confirmed,111,NA,100.0,pure_endemic,Endemic,102,0,,,,,,,,,,
Leandra aurea,Melastomataceae,Leandra aurea (Cham.) Cogn.,tree,confirmed,627,NA,63.15,widespread,Not endemic,297,161,,,,,,,,,,
Leandra australis,Melastomataceae,Leandra australis (Cham.) Cogn.,shrub,confirmed,570,NA,95.81,near_endemic,Endemic,436,22,,,,,,,,,,
