binomial,family,scientific_name_full,life_form,af_status,n_records_af,ornamental_or_cultivated,endemism_level_pct,endemism_group,endemism_bf2020,records_inside_af,records_outside_af,py_threat_category,ar_threat_category,ar_endemic_category,uses,is_timber,lqv_25km_documented,lqv_25km_sources,lqv_25km_occurrences,lqv_vernacular,lqv_iucn,lqv_priority_score
Porcelia macrocarpa,Annonaceae,Porcelia macrocarpa (Warm.) R.E.Fr.,tree,confirmed,54,NA,83.02,widespread,Endemic,28,3,,,,,,,,,,,1
Posoqueria latifolia,Rubiaceae,Posoqueria latifolia (Rudge) Schult.,tree,confirmed,1410,NA,22.25,widespread,Not endemic,302,860,,,,,,,,,,,1
Posoqueria longiflora,Rubiaceae,Posoqueria longiflora Aubl.,tree,confirmed,266,NA,42.27,widespread,Not endemic,94,118,,,,,,,,,,,1
Posoqueria trinitatis,Rubiaceae,Posoqueria trinitatis DC.,tree,new to AF,13,NA,20.0,widespread,Not in the AF,2,4,,,,,,,,,,,1
Pouteria andarahiensis,Sapotaceae,Pouteria andarahiensis T.D.Penn.,tree,confirmed,104,NA,78.4,widespread,Not endemic,28,4,,,,,,,,,,,1
Pouteria bangii,Sapotaceae,Pouteria bangii (Rusby) T.D.Penn.,tree,confirmed,196,NA,63.18,widespread,Not endemic,108,55,,,,,,,,,,,1
Pouteria bilocularis,Sapotaceae,Pouteria bilocularis (H.K.A.Winkl.) Baehni,tree,new to AF,120,NA,6.06,occasional,Not in the AF,13,78,,,,,,,,,,,1
Pouteria brachyandra,Sapotaceae,Pouteria brachyandra (Aubrev. & Pellegr.) T.D.Penn.,tree,new to AF,18,NA,58.06,widespread,Not in the AF,9,6,,,,,,,,,,,1
Pouteria cuspidata,Sapotaceae,Pouteria cuspidata (A.DC.) Baehni,tree,confirmed,412,NA,9.77,occasional,Not endemic,34,312,,,,,,,,,,,1
Pouteria durlandii,Sapotaceae,Pouteria durlandii (Standl.) Baehni,tree,confirmed,213,NA,25.98,widespread,Not endemic,37,144,,,,,,,,,,,1
Pouteria elegans,Sapotaceae,Pouteria elegans (A.DC.) Baehni,tree,new to AF,237,NA,0.61,occasional,Not in the AF,1,194,,,,,,,,,,,1
Pouteria filipes,Sapotaceae,Pouteria filipes Eyma,tree,confirmed,57,NA,17.65,widespread,Not endemic,9,41,,,,,,,,,,,1
Pouteria furcata,Sapotaceae,Pouteria furcata T.D.Penn.,tree,new to AF,23,NA,5.26,occasional,Not in the AF,1,16,,,,,,,,,,,1
Pouteria gallifructa,Sapotaceae,Pouteria gallifructa Cronquist,tree,confirmed,14,NA,78.95,widespread,Endemic,7,2,,,,,,,,,,,1
Pouteria gardneri,Sapotaceae,Pouteria gardneri (Mart. & Miq.) Baehni,tree,confirmed,203,NA,61.83,widespread,Not endemic,85,57,,,,,,,,,,,1
Pouteria gardneriana,Sapotaceae,Pouteria gardneriana (A.DC.) Radlk.,tree,confirmed,116,NA,9.17,occasional,Not endemic,10,69,,,,,,,,,,,1
Pouteria glauca,Sapotaceae,Pouteria glauca T.D. Penn.,tree,confirmed,13,NA,16.67,widespread,Not endemic,1,8,,,,,,,,,,,1
Pouteria glomerata,Sapotaceae,Pouteria glomerata (Miq.) Radlk.,tree,confirmed,319,NA,12.26,widespread,Not endemic,28,212,,,,,,,,,,,1
Pouteria macrocarpa,Sapotaceae,Pouteria macrocarpa (Mart.) D.Dietr.,tree,new to AF,34,NA,11.11,widespread,Not in the AF,3,16,,,,,,,,,,,1
Pouteria macrophylla,Sapotaceae,Pouteria macrophylla (Lam.) Eyma,tree,confirmed,130,NA,11.5,widespread,Not endemic,12,100,,,,,,,,,,,1
Pouteria nordestinensis,Sapotaceae,Pouteria nordestinensis Alves-Araujo & M.Alves,tree,confirmed,26,NA,78.57,widespread,Endemic,15,3,,,,,,,,,,,1
Pouteria petiolata,Sapotaceae,Pouteria petiolata T.D.Penn.,tree,new to AF,17,NA,28.57,widespread,Not in the AF,2,5,,,,,,,,,,,1
Pouteria procera,Sapotaceae,Pouteria procera (Mart.) K.Hammer,tree,confirmed,111,NA,32.35,widespread,Not endemic,30,40,,,,,,,,,,,1
