species,kingdom,family,genus,decimalLatitude,decimalLongitude,year,basisOfRecord,occurrenceID,license
Sosxetra grata,Animalia,Erebidae,Sosxetra,-27.051026,-55.566106,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335532969,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Paroaria coronata,Animalia,Thraupidae,Paroaria,-25.338,-57.5279,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/336243304,http://creativecommons.org/licenses/by/4.0/legalcode
Erinnyis crameri,Animalia,Sphingidae,Erinnyis,-27.383065,-56.842994,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334218092,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Myiodynastes maculatus,Animalia,Tyrannidae,Myiodynastes,-25.463016,-56.063763,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334434035,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Leptotila verreauxi,Animalia,Columbidae,Leptotila,-25.3398,-57.517,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334030186,http://creativecommons.org/licenses/by/4.0/legalcode
Commelina erecta,Plantae,Commelinaceae,Commelina,-26.851175,-58.289609,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/336117336,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Lippia angustifolia,Plantae,Verbenaceae,Lippia,-26.204725,-56.054178,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335507899,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Vanellus chilensis,Animalia,Charadriidae,Vanellus,-25.463016,-56.063763,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334433660,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Gloora mundula,Animalia,Erebidae,Gloora,-27.389581,-55.958084,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334305833,http://creativecommons.org/licenses/by/4.0/legalcode
Pteroglossus castanotis,Animalia,Ramphastidae,Pteroglossus,-25.546311,-56.954664,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334037916,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Erythrina crista-galli,Plantae,Fabaceae,Erythrina,-25.304778,-57.383339,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/336019347,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Turdus rufiventris,Animalia,Turdidae,Turdus,-26.261731,-55.985656,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335615647,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Aramus guarauna,Animalia,Aramidae,Aramus,-27.049273,-58.418318,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334394392,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Notomabuya frenata,Animalia,Scincidae,Notomabuya,-25.869968,-56.643657,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335940826,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Brotogeris chiriri,Animalia,Psittacidae,Brotogeris,-25.3401,-57.517,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333879875,http://creativecommons.org/licenses/by/4.0/legalcode
Molothrus rufoaxillaris,Animalia,Icteridae,Molothrus,-25.463016,-56.063763,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334436600,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Trichilia pallida,Plantae,Meliaceae,Trichilia,-25.913374,-56.912914,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333787885,http://creativecommons.org/licenses/by/4.0/legalcode
Tetragonisca fiebrigi,Animalia,Apidae,Tetragonisca,-25.3388,-57.5242,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333748596,http://creativecommons.org/licenses/by/4.0/legalcode
Eriopis connexa,Animalia,Coccinellidae,Eriopis,-25.29323,-57.321575,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333685265,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Hydropsalis torquata,Animalia,Caprimulgidae,Hydropsalis,-25.245447,-57.425486,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335351152,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Cirsium vulgare,Plantae,Asteraceae,Cirsium,-27.085097,-57.94833,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334406428,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Eupyrrhoglossum sagra,Animalia,Sphingidae,Eupyrrhoglossum,-25.60768,-56.87071,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334485205,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Alpaida carminea,Animalia,Araneidae,Alpaida,-25.607809,-56.870766,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334659751,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Nyctidromus albicollis,Animalia,Caprimulgidae,Nyctidromus,-25.243869,-57.425092,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335351150,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Hermetia illucens,Animalia,Stratiomyidae,Hermetia,-25.3339,-57.526,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334011664,http://creativecommons.org/licenses/by/4.0/legalcode
Thaumatophyllum bipinnatifidum,Plantae,Araceae,Thaumatophyllum,-26.211067,-56.035766,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335521215,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Aramides ypecaha,Animalia,Rallidae,Aramides,-24.851555,-57.47471,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333360984,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Mallodon dasystomum,Animalia,Cerambycidae,Mallodon,-25.313597,-57.5197,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333781890,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Rhinella diptycha,Animalia,Bufonidae,Rhinella,-24.966607,-57.293905,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334434477,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Cephalotes pusillus,Animalia,Formicidae,Cephalotes,-25.3387,-57.5247,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334905912,http://creativecommons.org/licenses/by/4.0/legalcode
Megalobulimus oblongus,Animalia,Strophocheilidae,Megalobulimus,-25.247,-57.540318,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334664085,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Columba livia,Animalia,Columbidae,Columba,-25.30416,-57.376234,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/336025464,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Strix virgata,Animalia,Strigidae,Strix,-26.511004,-55.78523,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/336086371,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Furnarius rufus,Animalia,Furnariidae,Furnarius,-25.3397,-57.524,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335871296,http://creativecommons.org/licenses/by/4.0/legalcode
Paratrechina longicornis,Animalia,Formicidae,Paratrechina,-25.3354,-57.5261,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333920868,http://creativecommons.org/licenses/by/4.0/legalcode
Handroanthus heptaphyllus,Plantae,Bignoniaceae,Handroanthus,-25.253872,-57.432425,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335268615,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Ardea alba,Animalia,Ardeidae,Ardea,-25.561289,-54.631455,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333739878,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Paratrechina longicornis,Animalia,Formicidae,Paratrechina,-25.3312,-57.529,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334297798,http://creativecommons.org/licenses/by/4.0/legalcode
Justicia brasiliana,Plantae,Acanthaceae,Justicia,-26.204428,-56.054631,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335510075,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Erythrina crista-galli,Plantae,Fabaceae,Erythrina,-25.304023,-57.383915,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/336018903,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Smeringopus pallidus,Animalia,Pholcidae,Smeringopus,-25.3283,-57.5303,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334465985,http://creativecommons.org/licenses/by/4.0/legalcode
Sinningia aggregata,Plantae,Gesneriaceae,Sinningia,-25.282478,-57.088735,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/336275533,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Pseudis platensis,Animalia,Hylidae,Pseudis,-24.967061,-57.29317,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334227151,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Syrigma sibilatrix,Animalia,Ardeidae,Syrigma,-26.199963,-56.035763,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335522230,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Furnarius rufus,Animalia,Furnariidae,Furnarius,-25.353,-57.5154,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334667655,http://creativecommons.org/licenses/by/4.0/legalcode
